City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Port-Cartier,CA,2021-12-07 10:46:50,50.0334,-66.8654,34.02,67,82,22.08
258,Santa Helena De Goias,BR,2021-12-07 10:46:51,-17.8136,-50.5969,78.3,63,21,3.42
259,West Odessa,US,2021-12-07 10:46:51,31.8424,-102.4988,36.05,42,1,10.36
260,Ialibu,PG,2021-12-07 10:46:52,-6.2821,143.9935,57.18,98,99,2.51
261,Quelimane,MZ,2021-12-07 10:46:52,-17.8786,36.8883,102.15,33,20,14.0
262,Yulara,AU,2021-12-07 10:46:53,-25.2406,130.9889,85.84,32,85,12.66
263,Mamit,IN,2021-12-07 10:46:53,23.9333,92.4833,63.16,97,99,1.25
264,Lima,PE,2021-12-07 10:42:23,-12.0432,-77.0282,63.14,88,90,2.3
265,Groa,NO,2021-12-07 10:46:54,62.65,8.7167,30.29,68,95,12.66
266,Beckley,US,2021-12-07 10:46:54,37.7782,-81.1882,27.7,84,1,1.01
267,Sungairaya,ID,2021-12-07 10:46:55,0.7,108.9,81.01,80,57,9.42
268,Alto Longa,BR,2021-12-07 10:46:55,-5.2511,-42.2103,83.25,68,19,0.81
269,Santa Rosa,PH,2021-12-07 10:46:56,14.3122,121.1114,80.58,74,91,17.6
270,Xiongyue,CN,2021-12-07 10:46:56,40.1774,122.1228,36.12,40,0,2.46
271,Los Llanos De Aridane,ES,2021-12-07 10:46:56,28.6585,-17.9182,64.13,73,90,7.0
272,Guerrero Negro,MX,2021-12-07 10:46:57,27.9769,-114.0611,59.58,87,0,8.05
273,Morwell,AU,2021-12-07 10:46:57,-38.2333,146.4,54.91,83,93,1.97
274,Katsuura,JP,2021-12-07 10:46:58,35.1333,140.3,55.42,78,81,22.35
275,Norman Wells,CA,2021-12-07 10:43:10,65.282,-126.8329,-3.96,71,75,4.61
276,Charters Towers,AU,2021-12-07 10:46:58,-20.1,146.2667,79.81,61,36,13.6
277,Tukrah,LY,2021-12-07 10:47:59,32.5341,20.5791,61.74,54,98,31.79
278,Berga,NO,2021-12-07 10:47:59,60.392,5.328,39.61,48,75,11.5
279,Fort Nelson,CA,2021-12-07 10:45:06,58.8053,-122.7002,-4.41,84,90,2.3
280,Champerico,GT,2021-12-07 10:48:00,14.3,-91.9167,73.29,80,1,7.96
281,Kambove,CD,2021-12-07 10:48:00,-10.8764,26.5969,86.16,36,27,7.65
