City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Kargil,IN,34.5667,76.1,21.09,46,98,1.41,overcast clouds
308,Evanston,US,42.0411,-87.6901,39.94,67,1,3.0,clear sky
309,Ende,ID,-8.8432,121.6623,81.41,85,100,0.81,overcast clouds
310,Ribeira Grande,PT,38.5167,-28.7,54.0,71,40,6.91,scattered clouds
311,Kavieng,PG,-2.5744,150.7967,82.99,77,81,8.05,broken clouds
312,Vila,PT,42.0304,-8.1588,46.33,75,37,3.13,scattered clouds
313,Alice Springs,AU,-23.7,133.8833,89.15,14,12,8.05,few clouds
314,Asau,RO,46.4333,26.4,37.96,76,100,0.85,overcast clouds
315,Viamao,BR,-30.0811,-51.0233,73.38,91,75,4.61,mist
316,Rawson,AR,-43.3002,-65.1023,58.78,46,74,15.66,broken clouds
317,Wuxue,CN,29.8506,115.5525,50.58,65,16,5.01,few clouds
318,Hay River,CA,60.8156,-115.7999,-2.24,84,20,10.36,few clouds
319,Georgetown,MY,5.4112,100.3354,82.35,81,20,5.75,thunderstorm
320,Saint-Philippe,RE,-21.3585,55.7679,87.35,73,2,12.57,clear sky
321,Fairbanks,US,64.8378,-147.7164,-20.76,73,1,0.0,light snow
322,Coquimbo,CL,-29.9533,-71.3436,56.93,82,20,3.44,few clouds
323,Noshiro,JP,40.2039,140.0242,34.74,62,100,22.39,light snow
324,Codrington,AU,-38.2667,141.9667,58.53,78,100,9.24,light rain
325,Calama,CL,-22.4667,-68.9333,46.89,34,21,17.27,few clouds
326,Sawtell,AU,-30.3833,153.1,69.82,73,75,12.66,broken clouds
327,Vaitape,PF,-16.5167,-151.75,80.89,72,52,6.42,broken clouds
328,Tandil,AR,-37.3217,-59.1332,57.92,57,0,7.9,clear sky
329,Guozhen,CN,34.3659,107.359,40.48,66,8,3.94,clear sky
330,Cangzhou,CN,38.3167,116.8667,34.65,50,0,6.73,clear sky
331,Namatanai,PG,-3.6667,152.4333,81.27,81,97,2.77,light rain
